particulars,posting_date,cost_center,voucher_type,debit,credit,net_balance
Net settlement  for  NSE-Equity with settlement number: 2021117,2021-06-23,NSE-EQ - Z,Book Voucher,12943.551028,0.000000,143.990783
Funds added using UPI UM9226 with reference number 117689152300    ,2021-06-25,NSE-EQ - Z,Bank Receipts,0.000000,8000.000000,8143.990783
Funds added using UPI UM9226 with reference number 117606645676    ,2021-06-25,NSE-EQ - Z,Bank Receipts,0.000000,4000.000000,12143.990783
Funds added using UPI UM9226 with reference number 117619318964    ,2021-06-25,NSE-EQ - Z,Bank Receipts,0.000000,8000.000000,20143.990783
Investment in Motilal Os N100FOFDP with settlement no: 2122059,2021-06-28,STARMF - Z,Book Voucher,20000.000000,0.000000,143.990783
DP Charges for Sale of ADANITRANS on 30/06/2021,2021-06-30,NSE-EQ - Z,Journal Entry,15.930000,0.000000,128.060783
Net settlement  for  NSE-Equity with settlement number: 2021122,2021-06-30,NSE-EQ - Z,Book Voucher,0.000000,1291.513239,1419.574022
Funds added using UPI UM9226 with reference number 118379468865    ,2021-07-02,NSE-EQ - Z,Bank Receipts,0.000000,8000.000000,9419.574022
Net settlement  for  Equity with settlement number: 2021124,2021-07-02,NSE-EQ - Z,Book Voucher,9052.688955,0.000000,366.885067
Funds transferred back to primary bank account as part of quarterly settlement,2021-09-01,NSE-EQ - Z,Bank Payments,366.890000,0.000000,-0.004933
Net settlement for Equity with settlement number: 2021195,2021-10-14,NSE-EQ - Z,Book Voucher,0.000000,26670.224612,26670.219679
DP Charges for Sale of BHARTIARTL on 14/10/2021,2021-10-14,NSE-EQ - Z,Journal Entry,15.930000,0.000000,26654.289679
AMC for Demat Account for 2021-02-28 to 2021-05-28,2021-10-28,NSE-EQ - Z,Journal Entry,88.500000,0.000000,26565.789679
Funds transferred back to primary bank account as part of quarterly settlement,2021-11-15,NSE-EQ - Z,Bank Payments,26565.790000,0.000000,-0.000321
AMC for Demat Account for 29-05-2021 to 27-08-2021,2022-03-22,NSE-EQ - Z,Journal Entry,88.500000,0.000000,-88.500321
AMC for Demat Account for 28-08-2021 to 26-11-2021,2022-03-31,NSE-EQ - Z,Journal Entry,88.500000,0.000000,-177.000321
Delayed payment charges for April - 2022,2022-05-16,NSE-EQ - Z,Journal Entry,2.660000,0.000000,-179.660321
Delayed payment charges for May - 2022,2022-06-10,NSE-EQ - Z,Journal Entry,2.760000,0.000000,-182.420321
Delayed payment charges for June - 2022,2022-07-13,NSE-EQ - Z,Journal Entry,2.720000,0.000000,-185.140321
Delayed payment charges for July - 2022,2022-08-11,NSE-EQ - Z,Journal Entry,2.850000,0.000000,-187.990321
Delayed payment charges for August - 2022,2022-09-13,NSE-EQ - Z,Journal Entry,2.900000,0.000000,-190.890321
Delayed payment charges for September - 2022,2022-10-06,NSE-EQ - Z,Journal Entry,2.850000,0.000000,-193.740321
Delayed payment charges for October - 2022,2022-11-10,NSE-EQ - Z,Journal Entry,3.000000,0.000000,-196.740321
Delayed payment charges for November - 2022,2022-12-12,NSE-EQ - Z,Journal Entry,2.940000,0.000000,-199.680321
AMC for demat account for 27-11-2021 to 25-02-2022,2022-12-13,NSE-EQ - Z,Journal Entry,88.500000,0.000000,-288.180321
Delayed payment charges for December - 2022,2023-01-03,NSE-EQ - Z,Journal Entry,3.920000,0.000000,-292.100321
Delayed payment charges for January - 2023,2023-02-13,NSE-EQ - Z,Journal Entry,4.380000,0.000000,-296.480321
Delayed payment charges for February - 2023,2023-03-14,NSE-EQ - Z,Journal Entry,4.120000,0.000000,-300.600321
AMC for Demat Account for 26-02-2022 to 27-05-2022,2023-03-29,NSE-EQ - Z,Journal Entry,88.500000,0.000000,-389.100321
AMC for Demat Account for 28-05-2022 to 26-08-2022,2023-03-30,NSE-EQ - Z,Journal Entry,88.500000,0.000000,-477.600321
Delayed payment charges for March - 2023,2023-03-31,NSE-EQ - Z,Journal Entry,4.180000,0.000000,-481.780321
AMC for Demat Account for 27-08-2022 to 25-11-2022,2023-04-06,NSE-EQ - Z,Journal Entry,88.500000,0.000000,-570.280321
AMC for Demat Account for 26-11-2022 to 24-02-2023,2023-05-15,NSE-EQ - Z,Journal Entry,88.500000,0.000000,-658.780321
Delayed payment charges for April - 2023,2023-05-19,NSE-EQ - Z,Journal Entry,9.010000,0.000000,-667.790321
Delayed payment charges for May - 2023,2023-06-26,NSE-EQ - Z,Journal Entry,9.650000,0.000000,-677.440321
AMC for Demat Account for 25-02-2023 to 26-05-2023,2023-07-03,NSE-EQ - Z,Journal Entry,88.500000,0.000000,-765.940321
Delayed payment charges for June - 2023,2023-07-05,NSE-EQ - Z,Journal Entry,10.040000,0.000000,-775.980321
Delayed payment charges for July - 2023,2023-08-14,NSE-EQ - Z,Journal Entry,11.920000,0.000000,-787.900321
Delayed payment charges for August - 2023,2023-09-08,NSE-EQ - Z,Journal Entry,12.130000,0.000000,-800.030321
AMC for Demat Account for 27-05-2023 to 25-08-2023,2023-10-02,NSE-EQ - Z,Journal Entry,88.500000,0.000000,-888.530321
Delayed payment charges for September - 2023,2023-10-05,NSE-EQ - Z,Journal Entry,11.960000,0.000000,-900.490321
Delayed payment charges for October - 2023,2023-11-03,NSE-EQ - Z,Journal Entry,13.890000,0.000000,-914.380321
Delayed payment charges for November - 2023,2023-12-05,NSE-EQ - Z,Journal Entry,13.700000,0.000000,-928.080321
AMC for Demat Account for 26-08-2023 to 24-11-2023,2024-01-01,NSE-EQ - Z,Journal Entry,88.500000,0.000000,-1016.580321
Delayed payment charges for December - 2023,2024-01-02,NSE-EQ - Z,Journal Entry,14.360000,0.000000,-1030.940321
Delayed payment charges for January - 2024,2024-02-07,NSE-EQ - Z,Journal Entry,15.970000,0.000000,-1046.910321
Delayed payment charges for February - 2024,2024-03-06,NSE-EQ - Z,Journal Entry,15.130000,0.000000,-1062.040321
Delayed payment charges for March - 2024,2024-03-27,NSE-EQ - Z,Journal Entry,13.240000,0.000000,-1075.280321
AMC for Demat Account for 25-11-2023 to 23-02-2024,2024-03-31,NSE-EQ - Z,Journal Entry,88.500000,0.000000,-1163.780321
Delayed payment charges for April - 2024,2024-05-10,NSE-EQ - Z,Journal Entry,20.720000,0.000000,-1184.500321
Delayed payment charges for May - 2024,2024-06-12,NSE-EQ - Z,Journal Entry,18.270000,0.000000,-1202.770321
Delayed payment charges for June - 2024,2024-07-05,NSE-EQ - Z,Journal Entry,17.940000,0.000000,-1220.710321
DP Charges for Sale of NTPC on 05/08/2024,2024-08-05,NSE-EQ - Z,Journal Entry,15.340000,0.000000,-1236.050321
DP Charges for Sale of ITC on 05/08/2024,2024-08-05,NSE-EQ - Z,Journal Entry,15.340000,0.000000,-1251.390321
DP Charges for Sale of BIRLACORPN on 05/08/2024,2024-08-05,NSE-EQ - Z,Journal Entry,15.340000,0.000000,-1266.730321
DP Charges for Sale of ADANIPOWER on 05/08/2024,2024-08-05,NSE-EQ - Z,Journal Entry,15.340000,0.000000,-1282.070321
DP Charges for Sale of NCLIND on 05/08/2024,2024-08-05,NSE-EQ - Z,Journal Entry,15.340000,0.000000,-1297.410321
DP Charges for Sale of IDEA on 05/08/2024,2024-08-05,NSE-EQ - Z,Journal Entry,15.340000,0.000000,-1312.750321
DP Charges for Sale of COALINDIA on 05/08/2024,2024-08-05,NSE-EQ - Z,Journal Entry,15.340000,0.000000,-1328.090321
Net settlement for Equity with settlement number: 2024146,2024-08-05,NSE-EQ - Z,Book Voucher,0.000000,168962.071516,167633.981195
Net obligation for Equity F&O,2024-08-06,NSE-F&O - Z,Book Voucher,495.476399,0.000000,167138.504796
Closing Balance,,,,,,167138.504796
